Wall time,Step,Value
1739625325.9868855,1,1.8775739669799805
1739625338.6261525,2,2.0676915645599365
1739625351.180014,3,2.8159542083740234
1739625363.8318877,4,4.112875938415527
1739625376.4907577,5,4.890291690826416
1739625389.045703,6,5.447208881378174
1739625401.6688402,7,5.871840476989746
1739625414.2906442,8,6.072107315063477
1739625426.8617744,9,6.489971160888672
1739625439.494289,10,6.605471134185791
1739625452.1310728,11,6.753166198730469
1739625464.7725933,12,6.938427448272705
1739625477.5202749,13,7.046271800994873
1739625490.254758,14,7.091111183166504
1739625502.8743994,15,7.194910526275635
1739625515.5258667,16,7.252175331115723
1739625528.2360835,17,7.255099773406982
1739625540.934562,18,7.410741329193115
1739625553.6189544,19,7.448594570159912
1739625566.426275,20,7.504369735717773
1739625579.1292598,21,7.543449878692627
1739625591.8798404,22,7.562384128570557
1739625604.6300752,23,7.627999782562256
1739625617.3771105,24,7.686882495880127
1739625630.034394,25,7.752020835876465
1739625642.6755407,26,7.758969306945801
1739625655.3690825,27,7.819504261016846
1739625668.1181574,28,7.848616600036621
1739625680.8563175,29,7.884524822235107
1739625693.514107,30,7.940725326538086
1739625706.1509302,31,7.968081474304199
1739625718.8295205,32,7.979275703430176
1739625731.5127132,33,7.953423976898193
1739625744.180651,34,8.05920124053955
1739625756.8203993,35,8.08346176147461
1739625769.5155268,36,8.141633033752441
1739625782.2384765,37,8.187613487243652
1739625794.952006,38,8.201961517333984
1739625807.627555,39,8.241880416870117
1739625820.3173978,40,8.274158477783203
