Wall time,Step,Value
1739625325.9868855,1,1.6592248678207397
1739625338.6261525,2,1.5371373891830444
1739625351.180014,3,1.4692329168319702
1739625363.8318877,4,1.380576491355896
1739625376.4907577,5,1.2802090644836426
1739625389.045703,6,1.184278964996338
1739625401.6688402,7,1.1128990650177002
1739625414.2906442,8,1.0593059062957764
1739625426.8617744,9,0.93974369764328
1739625439.494289,10,0.8427349925041199
1739625452.1310728,11,0.7412996292114258
1739625464.7725933,12,0.6622706651687622
1739625477.5202749,13,0.5881078243255615
1739625490.254758,14,0.5167198777198792
1739625502.8743994,15,0.4834468960762024
1739625515.5258667,16,0.4425604045391083
1739625528.2360835,17,0.42705005407333374
1739625540.934562,18,0.33088618516921997
1739625553.6189544,19,0.30480602383613586
1739625566.426275,20,0.2696158289909363
1739625579.1292598,21,0.27082502841949463
1739625591.8798404,22,0.22946272790431976
1739625604.6300752,23,0.21805539727210999
1739625617.3771105,24,0.18794193863868713
1739625630.034394,25,0.18464569747447968
1739625642.6755407,26,0.17726284265518188
1739625655.3690825,27,0.17155613005161285
1739625668.1181574,28,0.15897008776664734
1739625680.8563175,29,0.15224970877170563
1739625693.514107,30,0.12847794592380524
1739625706.1509302,31,0.12660549581050873
1739625718.8295205,32,0.13168735802173615
1739625731.5127132,33,0.16616544127464294
1739625744.180651,34,0.1140662357211113
1739625756.8203993,35,0.12038116157054901
1739625769.5155268,36,0.09839126467704773
1739625782.2384765,37,0.09336470812559128
1739625794.952006,38,0.09611085057258606
1739625807.627555,39,0.08374246954917908
1739625820.3173978,40,0.07841718196868896
