Wall time,Step,Value
1739625325.9868855,1,1.8323522806167603
1739625338.6261525,2,1.7784721851348877
1739625351.180014,3,1.7292197942733765
1739625363.8318877,4,1.659395456314087
1739625376.4907577,5,1.621077537536621
1739625389.045703,6,1.5464619398117065
1739625401.6688402,7,1.4708638191223145
1739625414.2906442,8,1.4467722177505493
1739625426.8617744,9,1.3750778436660767
1739625439.494289,10,1.3347989320755005
1739625452.1310728,11,1.282910704612732
1739625464.7725933,12,1.237168788909912
1739625477.5202749,13,1.226245403289795
1739625490.254758,14,1.204385757446289
1739625502.8743994,15,1.1745508909225464
1739625515.5258667,16,1.1505098342895508
1739625528.2360835,17,1.1352049112319946
1739625540.934562,18,1.1427879333496094
1739625553.6189544,19,1.109535574913025
1739625566.426275,20,1.0817315578460693
1739625579.1292598,21,1.083578109741211
1739625591.8798404,22,1.0961569547653198
1739625604.6300752,23,1.046694278717041
1739625617.3771105,24,1.0319122076034546
1739625630.034394,25,1.019526481628418
1739625642.6755407,26,1.0069867372512817
1739625655.3690825,27,1.0086692571640015
1739625668.1181574,28,1.0121711492538452
1739625680.8563175,29,0.9802443981170654
1739625693.514107,30,0.9858814477920532
1739625706.1509302,31,0.9611079096794128
1739625718.8295205,32,0.9741402268409729
1739625731.5127132,33,0.9787721037864685
1739625744.180651,34,0.9534159302711487
1739625756.8203993,35,0.9397311806678772
1739625769.5155268,36,0.9318498969078064
1739625782.2384765,37,0.9382503032684326
1739625794.952006,38,0.932782769203186
1739625807.627555,39,0.919090747833252
1739625820.3173978,40,0.903842568397522
