Wall time,Step,Value
1739625325.9868855,1,1.6732473373413086
1739625338.6261525,2,1.5790214538574219
1739625351.180014,3,1.5460296869277954
1739625363.8318877,4,1.5048296451568604
1739625376.4907577,5,1.4329620599746704
1739625389.045703,6,1.3684616088867188
1739625401.6688402,7,1.3153876066207886
1739625414.2906442,8,1.2753715515136719
1739625426.8617744,9,1.1477030515670776
1739625439.494289,10,1.0357658863067627
1739625452.1310728,11,0.8892651796340942
1739625464.7725933,12,0.7976422905921936
1739625477.5202749,13,0.7010141611099243
1739625490.254758,14,0.6039919257164001
1739625502.8743994,15,0.5711332559585571
1739625515.5258667,16,0.5257987976074219
1739625528.2360835,17,0.5161407589912415
1739625540.934562,18,0.35052356123924255
1739625553.6189544,19,0.30621951818466187
1739625566.426275,20,0.26854264736175537
1739625579.1292598,21,0.2909494638442993
1739625591.8798404,22,0.20692658424377441
1739625604.6300752,23,0.207711324095726
1739625617.3771105,24,0.1761467158794403
1739625630.034394,25,0.1662614941596985
1739625642.6755407,26,0.16868427395820618
1739625655.3690825,27,0.16725997626781464
1739625668.1181574,28,0.14308059215545654
1739625680.8563175,29,0.15201525390148163
1739625693.514107,30,0.10313436388969421
1739625706.1509302,31,0.1030140146613121
1739625718.8295205,32,0.1209048479795456
1739625731.5127132,33,0.20569440722465515
1739625744.180651,34,0.09363561123609543
1739625756.8203993,35,0.12012694031000137
1739625769.5155268,36,0.06741173565387726
1739625782.2384765,37,0.06579776853322983
1739625794.952006,38,0.07095567882061005
1739625807.627555,39,0.055944543331861496
1739625820.3173978,40,0.04985599219799042
