class,top5_neurons,n_target_samples,target_prob_drop_pp,target_prob_drop_ci95_lo,target_prob_drop_ci95_hi,target_ci_excludes_zero,target_margin_drop,mean_non_target_prob_drop_pp,mean_abs_non_target_prob_drop_pp,non_target_denom_ci95_lo,non_target_denom_ci95_hi,n_resolvable_non_target,selectivity_ratio,selectivity_undefined_reason,causally_class_selective,legacy_acc_target_drop_pp,legacy_acc_mean_abs_non_target_drop_pp
anger,"[3, 55, 54, 53, 27]",24,5.76677033587557,4.4578292200211616,7.190329606678267,True,0.31908212167521316,0.5394957225069537,0.5394957225069537,0.4529884059829316,0.9211528382518391,3,10.68918639257838,,True,4.166666666666657,0.0
disgust,"[41, 11, 52, 40, 36]",24,1.9180618373725868,1.2857781002994944,2.534496763655189,True,0.12162183846036594,1.0132996455853718,1.0132996455853718,0.6933980919701537,1.3517761747276298,5,1.8928871096807145,,False,4.166666666666686,0.8333333333333315
fear,"[40, 29, 54, 11, 6]",24,1.6870715068378488,0.7747040709599535,2.593742202814601,True,0.03433150487641493,0.9942432022596117,0.9942432022596117,0.7516195892968724,1.2316466905672663,4,1.696839870771708,,False,4.166666666666657,0.0
happiness,"[12, 51, 62, 5, 55]",24,2.8612349692660217,1.824596417429687,3.885954642142683,True,0.1212124436472853,1.4253760254849834,1.4253760254849834,1.1425825728942862,1.8175706168643857,3,2.007354493206442,,False,0.0,1.6666666666666685
sadness,"[60, 0, 9, 32, 33]",24,6.806818315003102,4.685442869607809,8.754875379177415,True,0.3432877752929926,1.1716105989302774,1.1948315135187668,0.9550279440517571,1.576308131749858,3,5.696885492212279,,True,0.0,0.8333333333333371
surprise,"[13, 28, 17, 61, 53]",24,2.8645014291281856,1.1852166247875637,4.458747004777787,True,0.2442718626310428,0.7864091215906609,0.7864091215906609,0.515601734996476,1.0909260259352607,3,3.64250788868546,,True,0.0,0.8333333333333315
