model,class,Text_attribution,Text_std,Video_attribution,Video_std,Audio_attribution,Audio_std,Text_pct,Video_pct,Audio_pct
base,anger,0.03354182597559241,0.02664389147011748,0.0038310234992609735,0.002769497556743421,0.042998554217615274,0.022887489035017146,41.73353261806413,4.766649981528151,53.499817400407714
base,disgust,0.036796800707439965,0.03721122439263451,0.0059100993207894525,0.005519815751946582,0.03849655248709342,0.030779146554625093,45.314330324189754,7.27813798270983,47.40753169310041
base,fear,0.031551979418159494,0.041661467054239315,0.004586110026319563,0.004229402499934424,0.034821695883269964,0.025215201465245682,44.464592546929545,6.46297054752525,49.07243690554521
base,happiness,0.03641215833363238,0.03104362804807348,0.0063913130659661,0.002967781114811199,0.04392344078953533,0.026231674047968195,41.98484347537342,7.369469181639883,50.6456873429867
base,sadness,0.0304023864218417,0.02704033921367212,0.004941927881315521,0.0033083069085477314,0.05666529147275057,0.022361282843770484,33.04262219739061,5.371099940751553,61.58627786185783
base,surprise,0.0416593425474102,0.049997548808378894,0.0025804973883852464,0.003012089464854553,0.026289008693682534,0.025631968775861165,59.06709574441913,3.6587828080702725,37.27412144751059
finetuned,anger,0.026656087099229325,0.024106292484076943,0.0039027277015197793,0.00210111492211838,0.0542789119016418,0.03198032738450503,31.420086481970884,4.600226636447335,63.979686881581785
finetuned,disgust,0.02745872983377278,0.029931278517058863,0.0058282756137166825,0.0020373688425975004,0.05354263309965695,0.024956095587282096,31.623683218332584,6.712311269788447,61.66400551187897
finetuned,fear,0.034804095230113984,0.038925096972462096,0.0025232144246970217,0.001474257198511712,0.040547903952391766,0.04143818473859125,44.69213452904726,3.2400738409835275,52.06779162996921
finetuned,happiness,0.03640412247610256,0.03654246072379926,0.005760806052290913,0.002364360779063061,0.04198470424815445,0.028294304092278583,43.261178064520564,6.845907536623762,49.89291439885567
finetuned,sadness,0.0195523984922829,0.02454034682679756,0.006211941072015353,0.00433894338058251,0.06073170989471125,0.034499266286055326,22.60496128386625,7.181762763580542,70.21327595255322
finetuned,surprise,0.033844003588098776,0.04370158985734295,0.0021490224463667305,0.0006858141854958825,0.03817247468754598,0.04312081899519481,45.633081767968505,2.8976039067298105,51.46931432530168
