model,class,baseline_acc,target_drop,mean_nt_drop,ratio,causally_selective
base,anger,54.17,0.0,0.0,0.00,False
base,disgust,62.5,0.0,0.0,0.00,False
base,fear,58.33,0.0,0.0,0.00,False
base,happiness,25.0,0.0,0.0,0.00,False
base,sadness,66.67,0.0,0.0,0.00,False
base,surprise,75.0,0.0,0.83,0.00,False
finetuned,anger,33.33,4.17,0.83,5.00,True
finetuned,disgust,16.67,0.0,0.83,0.00,False
finetuned,fear,33.33,0.0,0.83,0.00,False
finetuned,happiness,33.33,0.0,1.67,0.00,False
finetuned,sadness,87.5,0.0,0.83,0.00,False
finetuned,surprise,83.33,0.0,0.0,0.00,False
