class,cosine_similarity,cosine_matched_minus_mismatched,base_ft_top5_overlap,overlap_expected_by_chance,overlap_p_ge_observed,base_drop_pp,delta_prob_target_class_base_neurons_in_ft,ft_ci_excludes_zero,R,R_ci95_lo,R_ci95_hi,R_null,R_null_ci95_lo,R_null_ci95_hi,R_exceeds_null,verdict,legacy_acc_ft_drop_pp
anger,0.9700335153277722,1.168221021057142,3,0.390625,0.00228290020397371,4.3285701590451175,7.315438183464898,True,1.6900357195732003,1.1962079518036073,2.41075714947842,1.4150276067740246,1.399274811980267,1.4310865366410341,False,No transfer signal above random ablation,8.333333333333314
disgust,0.9602310922797769,1.168221021057142,1,0.390625,0.34338276338210233,2.30003233152631,4.792026573290049,True,2.083460526883134,1.4679705011127886,2.903221058554437,2.005029101853465,1.9879394131822135,2.023198441989831,False,No transfer signal above random ablation,4.166666666666686
fear,0.9657047270602879,1.168221021057142,2,0.390625,0.04492038310123979,0.6386846017341555,2.7714379156627236,True,4.3392903291197555,2.677174189567657,9.336842907976989,4.009255332673754,3.8998541391900363,4.136255931921535,False,No transfer signal above random ablation,0.0
happiness,0.9895889864522776,1.168221021057142,0,0.390625,1.0,2.0432582407751743,2.845367506472561,True,1.3925638226683874,0.7825138998286323,2.362222303214483,1.185160984116564,1.1590917874641216,1.2108142783651532,False,No transfer signal above random ablation,4.166666666666686
sadness,0.9821550399760869,1.168221021057142,1,0.390625,0.34338276338210233,4.0640982197826006,5.354190416563697,True,1.3174362741779668,1.076844561052168,1.716229388642825,1.2072888705465268,1.1950848904636309,1.219504054157067,False,No transfer signal above random ablation,8.333333333333343
surprise,0.9720688244951515,1.168221021057142,3,0.390625,0.00228290020397371,2.288196241053447,4.742096199974381,True,2.0724167424517748,1.5534367468115942,2.5328062386005046,1.7255531053226514,1.7080058166557075,1.74350183601384,False,No transfer signal above random ablation,0.0
