model,class,baseline_acc,target_drop,mean_nt_drop,ratio,causally_selective
finetuned,anger,79.17,0.0,0.0,0.00,False
finetuned,disgust,83.33,0.0,0.0,0.00,False
finetuned,fear,66.67,0.0,0.0,0.00,False
finetuned,happiness,70.83,0.0,0.0,0.00,False
finetuned,sadness,83.33,0.0,0.83,0.00,False
finetuned,surprise,95.83,0.0,0.0,0.00,False
